season,holiday,weekday,workingday,weathersit,temp,year,months,hours,humidity,counts
springer,0,Fri,1,"Light Snow, Light Rain + Thunderstorm",0.42,0,Mar,13,0.0,12
winter,0,Mon,0,Mist + Cloudy,0.24,1,Nov,9,0.48,96
fall,0,Sun,0,Clear + Few clouds,0.68,0,Jun,22,0.47,187
summer,0,Sun,0,Clear + Few clouds,0.64,1,May,13,0.36,659
summer,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.56,0,May,19,0.88,331
fall,0,Sun,0,Mist + Cloudy,0.82,1,Sep,13,0.52,504
fall,0,Thu,1,Clear + Few clouds,0.76,1,Sep,17,0.66,863
winter,0,Thu,1,Clear + Few clouds,0.36,1,Nov,16,0.29,325
summer,0,Sat,1,Clear + Few clouds,0.72,0,Jun,17,0.25,558
winter,0,Sat,1,Clear + Few clouds,0.42,0,Nov,19,0.67,134
fall,1,Thu,0,Clear + Few clouds,0.86,1,July,19,0.47,432
winter,0,Sat,1,Clear + Few clouds,0.52,0,Sep,22,0.55,159
summer,0,Thu,1,Clear + Few clouds,0.56,0,Apri,4,0.94,6
summer,0,Fri,1,Clear + Few clouds,0.66,1,Mar,17,0.65,810
winter,0,Sat,1,Clear + Few clouds,0.42,1,Nov,14,0.35,251
winter,0,Fri,1,Clear + Few clouds,0.32,0,Dec,6,0.66,92
winter,1,Tue,0,Clear + Few clouds,0.52,1,Nov,11,0.72,367
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.52,0,Oct,7,0.77,68
winter,0,Wed,1,Clear + Few clouds,0.26,1,Nov,19,0.73,350
fall,0,Mon,0,Clear + Few clouds,0.66,0,Aug,5,0.89,8
summer,0,Sat,1,Clear + Few clouds,0.34,1,Apri,9,0.42,376
fall,0,Sun,0,Mist + Cloudy,0.66,1,Sep,1,0.89,117
winter,0,Tue,1,Clear + Few clouds,0.24,1,Nov,8,0.65,638
winter,0,Sun,0,Clear + Few clouds,0.3,0,Nov,5,0.75,3
summer,0,Thu,1,Mist + Cloudy,0.4,0,Mar,16,0.76,136
springer,0,Wed,1,Clear + Few clouds,0.32,1,Feb,9,0.49,289
winter,0,Mon,0,Clear + Few clouds,0.6,1,Sep,16,0.33,691
winter,0,Sun,0,Clear + Few clouds,0.34,1,Nov,9,0.49,248
fall,0,Sat,1,Mist + Cloudy,0.68,1,Sep,11,0.61,280
summer,0,Wed,1,Clear + Few clouds,0.36,1,Mar,22,0.37,134
springer,0,Sun,0,Clear + Few clouds,0.24,0,Jan,0,0.81,16
summer,0,Fri,1,Clear + Few clouds,0.4,1,Apri,5,0.82,30
summer,0,Fri,1,Clear + Few clouds,0.42,0,Apri,2,0.54,7
springer,0,Wed,1,Mist + Cloudy,0.3,1,Feb,12,0.56,163
springer,0,Sat,1,Clear + Few clouds,0.3,1,Mar,7,0.7,262
springer,0,Thu,1,Clear + Few clouds,0.34,0,Dec,10,0.57,96
summer,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.44,0,Apri,18,0.77,224
winter,0,Fri,1,Mist + Cloudy,0.52,0,Dec,14,0.52,132
winter,0,Sat,1,Clear + Few clouds,0.34,1,Nov,21,0.49,178
winter,0,Tue,1,Clear + Few clouds,0.2,0,Dec,2,0.69,4
fall,0,Sun,0,Mist + Cloudy,0.64,0,July,6,0.83,38
winter,0,Mon,0,Clear + Few clouds,0.5,0,Nov,11,0.63,240
fall,0,Sat,1,"Light Snow, Light Rain + Thunderstorm",0.82,1,Jun,23,0.63,48
summer,0,Wed,1,Mist + Cloudy,0.62,0,May,13,0.38,202
fall,0,Sun,0,Mist + Cloudy,0.74,1,Sep,7,0.58,66
springer,0,Fri,1,Clear + Few clouds,0.2,0,Mar,11,0.29,50
springer,0,Sun,0,Clear + Few clouds,0.52,1,Jan,19,0.42,215
springer,0,Mon,0,Mist + Cloudy,0.22,1,Feb,23,0.93,35
summer,0,Fri,1,Clear + Few clouds,0.8,0,Jun,16,0.22,318
summer,0,Thu,1,Clear + Few clouds,0.66,1,Jun,5,0.83,39
summer,0,Mon,0,Mist + Cloudy,0.36,1,Apri,9,0.81,275
fall,0,Fri,1,"Light Snow, Light Rain + Thunderstorm",0.62,0,Sep,19,1.0,52
winter,0,Sun,0,Mist + Cloudy,0.3,1,Dec,22,0.87,147
fall,0,Tue,1,Clear + Few clouds,0.66,0,Aug,5,0.65,24
fall,0,Tue,1,Clear + Few clouds,0.54,1,Sep,23,0.52,93
summer,0,Sun,0,Clear + Few clouds,0.54,0,Jun,6,0.6,28
winter,0,Sun,0,Clear + Few clouds,0.52,1,Sep,21,0.55,292
summer,0,Sat,1,Clear + Few clouds,0.56,1,May,8,0.88,618
winter,0,Fri,1,"Light Snow, Light Rain + Thunderstorm",0.36,0,Nov,13,0.81,96
winter,0,Fri,1,Clear + Few clouds,0.4,1,Nov,18,0.24,507
fall,0,Thu,1,Mist + Cloudy,0.56,1,Sep,0,0.68,26
springer,0,Sat,1,Clear + Few clouds,0.38,0,Dec,7,0.82,92
summer,0,Wed,1,Mist + Cloudy,0.56,1,May,8,0.88,590
summer,0,Wed,1,Clear + Few clouds,0.68,0,Apri,17,0.61,521
summer,0,Tue,1,Clear + Few clouds,0.66,1,Jun,8,0.74,651
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.44,0,Dec,11,1.0,50
fall,0,Fri,1,Mist + Cloudy,0.6,0,Sep,6,0.83,124
fall,0,Sun,0,Clear + Few clouds,0.7,1,July,22,0.79,225
springer,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.42,1,Jan,19,0.67,105
springer,0,Sun,0,Mist + Cloudy,0.16,0,Jan,2,0.59,12
summer,0,Fri,1,Clear + Few clouds,0.52,1,Apri,21,0.55,267
summer,0,Tue,1,Clear + Few clouds,0.6,1,Jun,20,0.4,461
fall,0,Sun,0,Clear + Few clouds,0.76,0,July,12,0.43,463
fall,0,Tue,1,Clear + Few clouds,0.7,1,July,6,0.58,136
summer,0,Thu,1,Clear + Few clouds,0.5,0,May,14,0.51,107
fall,0,Thu,1,Clear + Few clouds,0.82,0,July,10,0.46,113
winter,0,Sat,1,Clear + Few clouds,0.58,1,Oct,8,0.64,785
summer,0,Sun,0,Clear + Few clouds,0.62,1,May,9,0.78,284
winter,0,Sat,1,Clear + Few clouds,0.32,1,Nov,23,0.53,128
winter,0,Sat,1,Clear + Few clouds,0.5,0,Oct,11,0.45,174
fall,0,Thu,1,Clear + Few clouds,0.68,0,July,23,0.83,98
springer,0,Sat,1,Clear + Few clouds,0.24,0,Feb,13,0.35,110
fall,0,Mon,0,Clear + Few clouds,0.8,0,Aug,10,0.66,266
winter,0,Mon,0,Clear + Few clouds,0.62,0,Oct,15,0.35,412
summer,0,Thu,1,Clear + Few clouds,0.58,1,May,8,0.83,650
winter,0,Fri,1,Mist + Cloudy,0.56,1,Oct,18,0.64,788
winter,0,Thu,1,Mist + Cloudy,0.42,1,Oct,16,0.54,424
summer,0,Mon,0,Clear + Few clouds,0.76,1,May,18,0.58,518
springer,0,Wed,1,Clear + Few clouds,0.28,1,Mar,22,0.56,106
fall,0,Tue,1,Clear + Few clouds,0.82,1,July,18,0.46,741
springer,0,Wed,1,Mist + Cloudy,0.32,0,Mar,10,0.66,78
winter,1,Tue,0,Mist + Cloudy,0.42,1,Oct,14,0.58,420
springer,0,Mon,0,Clear + Few clouds,0.38,1,Jan,0,0.4,91
winter,0,Thu,1,Clear + Few clouds,0.44,1,Nov,12,0.41,344
winter,0,Mon,0,Clear + Few clouds,0.3,0,Dec,9,0.81,126
fall,0,Sat,1,Clear + Few clouds,0.72,1,Sep,10,0.74,224
fall,0,Wed,1,Mist + Cloudy,0.82,0,Aug,20,0.46,288
winter,0,Wed,1,Clear + Few clouds,0.54,1,Oct,23,0.73,111
summer,0,Sun,0,Mist + Cloudy,0.66,1,May,17,0.36,576
winter,0,Tue,1,Clear + Few clouds,0.24,1,Nov,7,0.65,365
winter,0,Sun,0,Clear + Few clouds,0.52,1,Sep,4,0.59,14
springer,0,Tue,1,Clear + Few clouds,0.24,0,Feb,0,0.65,15
springer,0,Wed,1,Clear + Few clouds,0.32,1,Feb,4,0.42,2
fall,0,Thu,1,Mist + Cloudy,0.82,0,Jun,15,0.56,146
springer,0,Mon,0,Clear + Few clouds,0.2,1,Jan,7,0.37,12
summer,0,Mon,0,Clear + Few clouds,0.64,1,Jun,8,0.73,181
summer,0,Wed,1,Clear + Few clouds,0.5,0,Apri,0,0.55,25
summer,0,Thu,1,Clear + Few clouds,0.62,0,Jun,23,0.53,107
fall,0,Wed,1,Clear + Few clouds,0.72,0,Aug,13,0.3,234
fall,0,Wed,1,Clear + Few clouds,0.82,1,July,10,0.43,209
winter,1,Tue,0,Clear + Few clouds,0.4,1,Nov,4,0.76,4
winter,0,Tue,1,Mist + Cloudy,0.5,0,Oct,11,0.72,168
fall,0,Fri,1,Clear + Few clouds,0.74,1,July,0,0.66,66
summer,0,Thu,1,Mist + Cloudy,0.5,1,Mar,9,0.88,293
summer,0,Wed,1,Mist + Cloudy,0.5,1,May,1,0.63,21
summer,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.56,1,May,4,0.94,5
fall,0,Sun,0,Clear + Few clouds,0.86,1,July,14,0.39,494
springer,0,Sun,0,Clear + Few clouds,0.34,0,Dec,8,0.81,49
springer,0,Sun,0,Clear + Few clouds,0.16,0,Jan,9,0.64,33
springer,0,Sun,0,Clear + Few clouds,0.12,0,Jan,20,0.36,28
springer,0,Tue,1,Clear + Few clouds,0.2,0,Feb,2,0.8,3
springer,0,Tue,1,Mist + Cloudy,0.34,0,Feb,8,0.93,255
fall,0,Fri,1,Mist + Cloudy,0.7,0,Aug,23,0.74,114
summer,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.56,0,May,2,0.88,5
winter,0,Sun,0,"Light Snow, Light Rain + Thunderstorm",0.4,0,Oct,9,0.82,129
springer,0,Tue,1,Clear + Few clouds,0.36,1,Feb,11,0.43,103
winter,0,Mon,0,Clear + Few clouds,0.44,1,Sep,5,0.72,10
winter,0,Tue,1,Mist + Cloudy,0.42,1,Dec,20,0.94,200
fall,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.7,1,July,1,0.89,18
winter,0,Fri,1,Mist + Cloudy,0.4,0,Nov,1,0.87,11
winter,0,Sat,1,Clear + Few clouds,0.36,0,Dec,8,0.46,459
winter,0,Sun,0,Clear + Few clouds,0.4,1,Oct,22,0.62,189
springer,0,Thu,1,Clear + Few clouds,0.54,1,Mar,19,0.42,361
winter,0,Tue,1,Clear + Few clouds,0.38,1,Dec,3,0.87,8
fall,0,Wed,1,Mist + Cloudy,0.74,0,Jun,19,0.74,425
springer,0,Wed,1,Clear + Few clouds,0.2,0,Mar,5,0.69,10
springer,0,Wed,1,Clear + Few clouds,0.26,1,Jan,23,0.81,41
springer,0,Sun,0,Clear + Few clouds,0.42,0,Mar,19,0.54,112
fall,0,Wed,1,Clear + Few clouds,0.82,0,July,11,0.59,127
springer,0,Mon,0,Clear + Few clouds,0.56,1,Mar,17,0.64,541
fall,0,Wed,1,Clear + Few clouds,0.58,1,Jun,9,0.46,328
summer,0,Tue,1,Mist + Cloudy,0.6,1,May,13,0.53,272
winter,0,Fri,1,Mist + Cloudy,0.3,1,Nov,4,0.45,10
springer,0,Sun,0,Clear + Few clouds,0.24,0,Mar,2,0.65,14
winter,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.32,1,Nov,9,0.81,110
winter,0,Sat,1,Clear + Few clouds,0.34,0,Nov,1,0.76,14
springer,0,Mon,0,Clear + Few clouds,0.36,0,Mar,20,0.46,67
fall,0,Mon,0,Clear + Few clouds,0.58,1,Sep,9,0.6,296
winter,0,Sat,1,Clear + Few clouds,0.52,0,Nov,14,0.39,272
winter,0,Tue,1,Clear + Few clouds,0.5,1,Sep,8,0.55,750
summer,0,Tue,1,Mist + Cloudy,0.62,1,May,15,0.73,196
springer,0,Fri,1,Clear + Few clouds,0.46,1,Mar,9,0.77,286
springer,0,Mon,0,Clear + Few clouds,0.36,1,Jan,0,0.66,48
fall,0,Sat,1,Clear + Few clouds,0.56,1,Sep,0,0.73,87
winter,0,Sat,1,Clear + Few clouds,0.52,0,Sep,3,0.83,3
fall,0,Sun,0,Clear + Few clouds,0.8,0,Aug,16,0.46,373
springer,1,Tue,0,Mist + Cloudy,0.18,0,Jan,5,0.43,1
springer,0,Fri,1,Clear + Few clouds,0.42,0,Mar,20,0.67,137
fall,0,Mon,0,Clear + Few clouds,0.66,1,Sep,14,0.39,635
springer,0,Sat,1,Mist + Cloudy,0.28,0,Feb,15,0.48,90
summer,0,Fri,1,Clear + Few clouds,0.5,1,Mar,14,0.42,238
fall,0,Mon,0,Mist + Cloudy,0.7,1,Sep,9,0.84,232
summer,0,Fri,1,Clear + Few clouds,0.7,1,May,12,0.58,289
winter,0,Sat,1,Mist + Cloudy,0.66,1,Sep,16,0.5,502
summer,0,Fri,1,Clear + Few clouds,0.72,1,Jun,17,0.48,867
springer,1,Tue,0,Clear + Few clouds,0.3,1,Feb,13,0.42,312
winter,0,Sat,1,Clear + Few clouds,0.34,1,Oct,6,0.81,143
springer,1,Tue,0,"Light Snow, Light Rain + Thunderstorm",0.14,0,Jan,22,0.93,13
winter,0,Thu,1,Clear + Few clouds,0.28,0,Dec,7,0.75,247
fall,0,Sun,0,Clear + Few clouds,0.9,0,July,11,0.37,216
winter,0,Tue,1,Clear + Few clouds,0.16,0,Dec,4,0.86,4
summer,0,Sun,0,Mist + Cloudy,0.32,0,Apri,1,1.0,16
winter,0,Fri,1,Clear + Few clouds,0.26,1,Dec,0,0.48,44
winter,0,Fri,1,Mist + Cloudy,0.54,0,Oct,5,1.0,17
summer,0,Sun,0,Clear + Few clouds,0.58,1,Jun,7,0.64,87
winter,0,Thu,1,Mist + Cloudy,0.46,0,Nov,14,1.0,61
fall,0,Thu,1,Mist + Cloudy,0.66,1,Aug,7,0.69,492
summer,0,Tue,1,Mist + Cloudy,0.34,1,Apri,19,0.76,298
fall,0,Thu,1,Clear + Few clouds,0.8,1,July,16,0.38,411
winter,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.6,1,Oct,12,0.78,284
winter,1,Tue,0,Clear + Few clouds,0.42,1,Nov,0,0.71,49
winter,0,Sun,0,Clear + Few clouds,0.58,0,Sep,3,0.94,31
summer,0,Fri,1,Clear + Few clouds,0.6,1,Jun,8,0.64,719
fall,0,Sun,0,"Light Snow, Light Rain + Thunderstorm",0.64,0,Aug,17,0.89,16
winter,0,Thu,1,Mist + Cloudy,0.56,0,Oct,0,0.83,25
summer,0,Thu,1,Mist + Cloudy,0.34,0,Mar,10,0.46,64
springer,0,Tue,1,Clear + Few clouds,0.46,1,Mar,2,0.88,8
winter,0,Sun,0,Clear + Few clouds,0.48,1,Oct,14,0.33,597
summer,0,Fri,1,"Light Snow, Light Rain + Thunderstorm",0.3,0,Mar,14,0.87,76
fall,0,Tue,1,Clear + Few clouds,0.82,1,July,17,0.52,847
summer,0,Mon,0,Mist + Cloudy,0.76,0,Jun,16,0.48,378
fall,0,Sun,0,Clear + Few clouds,0.74,0,July,19,0.48,406
winter,0,Sun,0,Mist + Cloudy,0.48,0,Oct,14,0.48,310
springer,0,Mon,0,Clear + Few clouds,0.2,1,Jan,14,0.32,188
fall,0,Sun,0,Mist + Cloudy,0.46,0,Sep,7,0.77,37
winter,0,Sat,1,Clear + Few clouds,0.28,0,Nov,20,0.48,137
winter,0,Tue,1,Mist + Cloudy,0.5,0,Oct,9,0.45,206
fall,0,Sun,0,Mist + Cloudy,0.84,1,Sep,16,0.49,462
summer,0,Sun,0,Clear + Few clouds,0.72,0,May,13,0.62,385
springer,1,Tue,0,Clear + Few clouds,0.2,1,Feb,9,0.59,110
summer,0,Mon,0,Mist + Cloudy,0.54,1,May,2,0.83,93
fall,0,Wed,1,Clear + Few clouds,0.64,1,Sep,12,0.33,316
summer,0,Wed,1,Clear + Few clouds,0.62,1,Apri,16,0.21,485
winter,0,Fri,1,"Light Snow, Light Rain + Thunderstorm",0.56,0,Oct,9,1.0,109
summer,1,Tue,0,Clear + Few clouds,0.54,1,Apri,5,0.77,38
springer,0,Wed,1,Clear + Few clouds,0.2,0,Feb,18,0.32,152
summer,0,Tue,1,Clear + Few clouds,0.44,0,May,6,0.88,62
summer,0,Sun,0,Clear + Few clouds,0.48,1,Apri,22,0.2,182
fall,0,Mon,0,Mist + Cloudy,0.72,1,Aug,23,0.79,87
winter,0,Tue,1,Mist + Cloudy,0.62,0,Sep,1,0.88,17
winter,0,Sun,0,Clear + Few clouds,0.52,1,Nov,15,0.45,567
springer,0,Thu,1,Mist + Cloudy,0.36,0,Dec,3,0.71,2
fall,0,Sat,1,Clear + Few clouds,0.66,0,July,18,0.83,316
springer,0,Sun,0,Mist + Cloudy,0.28,0,Mar,0,0.81,19
springer,0,Wed,1,Clear + Few clouds,0.3,1,Feb,8,0.49,529
fall,0,Mon,0,Mist + Cloudy,0.7,0,Aug,22,0.79,134
springer,0,Sun,0,Mist + Cloudy,0.14,1,Feb,22,0.39,46
fall,0,Wed,1,Clear + Few clouds,0.6,1,Aug,8,0.78,723
summer,0,Sat,1,Clear + Few clouds,0.76,0,Jun,9,0.55,213
winter,0,Fri,1,Clear + Few clouds,0.34,1,Nov,23,0.46,87
fall,0,Tue,1,Clear + Few clouds,0.7,0,Aug,18,0.65,483
summer,0,Wed,1,Clear + Few clouds,0.68,1,May,3,0.79,3
summer,0,Mon,0,Mist + Cloudy,0.36,0,Apri,5,0.93,4
fall,0,Mon,0,Clear + Few clouds,0.82,0,Aug,11,0.63,269
summer,0,Fri,1,Clear + Few clouds,0.66,1,May,15,0.61,283
springer,0,Sat,1,Mist + Cloudy,0.24,1,Dec,4,0.6,4
fall,0,Mon,0,Clear + Few clouds,0.8,0,July,20,0.55,275
summer,0,Thu,1,Clear + Few clouds,0.34,1,Apri,21,0.57,165
summer,0,Mon,0,Clear + Few clouds,0.5,0,May,5,1.0,6
summer,0,Wed,1,Mist + Cloudy,0.52,0,May,23,0.59,81
springer,0,Wed,1,Clear + Few clouds,0.26,0,Feb,11,0.25,57
fall,0,Mon,0,Clear + Few clouds,0.78,1,July,18,0.62,253
winter,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.42,1,Oct,20,0.94,55
springer,0,Thu,1,Clear + Few clouds,0.16,0,Jan,22,0.55,33
winter,0,Mon,0,Clear + Few clouds,0.54,1,Sep,1,0.52,142
summer,0,Fri,1,Clear + Few clouds,0.64,0,Jun,22,0.33,155
winter,0,Mon,0,Clear + Few clouds,0.34,0,Dec,22,0.87,64
fall,0,Wed,1,Clear + Few clouds,0.68,1,Aug,23,0.57,109
winter,0,Wed,1,Mist + Cloudy,0.38,1,Dec,16,0.5,358
winter,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.42,0,Nov,22,0.88,46
summer,0,Wed,1,Clear + Few clouds,0.58,0,Jun,4,0.83,5
summer,0,Mon,0,Clear + Few clouds,0.36,1,Apri,6,0.37,28
springer,0,Sat,1,Mist + Cloudy,0.34,0,Mar,18,0.53,187
summer,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.4,1,Apri,8,0.82,51
summer,0,Sun,0,Clear + Few clouds,0.74,1,Jun,15,0.35,583
fall,0,Fri,1,Clear + Few clouds,0.66,1,Aug,23,0.74,156
winter,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.46,0,Nov,23,0.88,28
winter,0,Mon,0,Clear + Few clouds,0.54,0,Nov,17,0.56,204
winter,1,Fri,0,Clear + Few clouds,0.5,0,Nov,16,0.34,114
summer,0,Mon,0,Clear + Few clouds,0.62,0,May,9,0.69,189
springer,0,Sun,0,Mist + Cloudy,0.4,0,Jan,20,0.87,36
summer,0,Sun,0,Clear + Few clouds,0.7,0,Jun,6,0.61,40
winter,0,Wed,1,"Light Snow, Light Rain + Thunderstorm",0.36,1,Oct,2,0.87,7
summer,0,Sun,0,Clear + Few clouds,0.32,1,Apri,5,0.33,2
springer,0,Sun,0,Clear + Few clouds,0.3,0,Dec,10,0.42,56
summer,0,Tue,1,Mist + Cloudy,0.54,1,Jun,11,0.88,121
winter,0,Sat,1,Clear + Few clouds,0.24,1,Nov,1,0.7,19
fall,0,Mon,0,Clear + Few clouds,0.78,1,July,6,0.7,21
springer,1,Tue,0,Clear + Few clouds,0.22,1,Feb,10,0.55,143
winter,0,Fri,1,Clear + Few clouds,0.34,0,Dec,20,0.46,190
summer,0,Wed,1,Mist + Cloudy,0.42,0,Mar,21,0.54,87
fall,0,Sun,0,Clear + Few clouds,0.76,0,July,20,0.45,284
fall,0,Wed,1,Clear + Few clouds,0.56,1,Sep,22,0.64,216
summer,0,Tue,1,"Light Snow, Light Rain + Thunderstorm",0.64,0,Jun,3,0.89,1
summer,0,Wed,1,Mist + Cloudy,0.6,1,May,10,0.78,200
springer,0,Mon,0,Clear + Few clouds,0.18,1,Jan,12,0.4,234
fall,0,Sun,0,Mist + Cloudy,0.76,1,July,13,0.62,591
springer,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.2,1,Dec,9,0.86,23
summer,0,Sat,1,Mist + Cloudy,0.3,0,Mar,21,0.39,75
summer,0,Sat,1,Clear + Few clouds,0.62,0,Jun,0,0.38,68
springer,0,Fri,1,Mist + Cloudy,0.28,1,Dec,11,0.56,103
winter,0,Sun,0,Clear + Few clouds,0.34,0,Nov,9,0.76,83
winter,0,Mon,0,Mist + Cloudy,0.5,1,Oct,14,0.59,402
summer,0,Thu,1,Clear + Few clouds,0.72,1,May,14,0.42,263
springer,1,Tue,0,Clear + Few clouds,0.26,1,Jan,10,0.35,109
springer,1,Tue,0,Clear + Few clouds,0.28,1,Jan,5,0.45,4
fall,0,Sat,1,Clear + Few clouds,0.7,1,Sep,13,0.54,421
fall,0,Fri,1,Clear + Few clouds,0.76,1,July,11,0.45,215
summer,0,Wed,1,Mist + Cloudy,0.56,0,Apri,12,0.64,92
springer,1,Wed,0,Mist + Cloudy,0.26,1,Dec,2,0.87,7
summer,0,Tue,1,Clear + Few clouds,0.62,0,May,18,0.38,524
fall,0,Sat,1,Mist + Cloudy,0.64,1,Aug,7,0.89,421
summer,0,Thu,1,Clear + Few clouds,0.56,1,Apri,13,0.26,228
summer,0,Tue,1,Clear + Few clouds,0.58,0,Jun,8,0.49,476
springer,0,Thu,1,Clear + Few clouds,0.6,1,Feb,16,0.4,283
springer,0,Thu,1,Clear + Few clouds,0.34,1,Jan,6,0.36,88
springer,0,Tue,1,Clear + Few clouds,0.26,1,Mar,20,0.37,179
winter,0,Sun,0,Clear + Few clouds,0.42,0,Nov,14,0.32,349
winter,0,Thu,1,Mist + Cloudy,0.32,1,Nov,18,0.53,465
fall,0,Sat,1,"Light Snow, Light Rain + Thunderstorm",0.7,1,July,14,0.84,229
summer,0,Mon,0,Clear + Few clouds,0.76,1,May,14,0.58,547
springer,0,Wed,1,Clear + Few clouds,0.32,0,Dec,20,0.93,69
winter,0,Tue,1,Mist + Cloudy,0.4,1,Dec,12,0.87,232
springer,0,Wed,1,Mist + Cloudy,0.26,1,Feb,4,0.65,2
winter,0,Wed,1,Clear + Few clouds,0.44,1,Oct,2,0.67,3
fall,1,Thu,0,Clear + Few clouds,0.66,1,July,5,0.69,19
winter,0,Mon,0,Mist + Cloudy,0.64,0,Sep,9,0.83,155
springer,0,Mon,0,Mist + Cloudy,0.36,0,Jan,11,0.71,70
summer,0,Sat,1,Clear + Few clouds,0.26,0,Mar,10,0.48,68
winter,0,Fri,1,Clear + Few clouds,0.46,1,Oct,8,0.82,834
fall,0,Sat,1,Clear + Few clouds,0.74,1,July,22,0.45,263
springer,0,Thu,1,Clear + Few clouds,0.3,0,Feb,19,0.33,141
winter,0,Fri,1,Clear + Few clouds,0.36,1,Oct,6,0.5,159
springer,0,Mon,0,"Light Snow, Light Rain + Thunderstorm",0.16,1,Jan,21,0.86,44
summer,0,Sun,0,Mist + Cloudy,0.42,1,Apri,17,0.41,322
springer,0,Thu,1,"Light Snow, Light Rain + Thunderstorm",0.32,1,Jan,14,0.81,73
summer,0,Sat,1,Clear + Few clouds,0.64,1,Jun,10,0.57,216
springer,0,Wed,1,Clear + Few clouds,0.34,1,Feb,13,0.49,131
fall,0,Sun,0,Clear + Few clouds,0.66,0,Aug,8,0.69,133
winter,0,Mon,0,Clear + Few clouds,0.38,0,Nov,19,0.76,151
